Mes,UsuariosNuevos,Estacion,Año
1,12,Invierno,1822
2,12,Invierno,1822
3,15,Primavera,1822
4,15,Primavera,1822
5,15,Primavera,1822
6,19,Verano,1822
7,19,Verano,1822
8,19,Verano,1822
9,15,Otoño,1822
10,15,Otoño,1822
11,15,Otoño,1822
12,12,Invierno,1822
1,13,Invierno,1823
2,13,Invierno,1823
3,16,Primavera,1823
4,16,Primavera,1823
5,16,Primavera,1823
6,19,Verano,1823
7,19,Verano,1823
8,19,Verano,1823
9,16,Otoño,1823
10,16,Otoño,1823
11,16,Otoño,1823
12,13,Invierno,1823
1,13,Invierno,1824
2,13,Invierno,1824
3,16,Primavera,1824
4,16,Primavera,1824
5,16,Primavera,1824
6,19,Verano,1824
7,19,Verano,1824
8,19,Verano,1824
9,16,Otoño,1824
10,16,Otoño,1824
11,16,Otoño,1824
12,13,Invierno,1824
1,13,Invierno,1825
2,13,Invierno,1825
3,16,Primavera,1825
4,16,Primavera,1825
5,16,Primavera,1825
6,20,Verano,1825
7,20,Verano,1825
8,20,Verano,1825
9,16,Otoño,1825
10,16,Otoño,1825
11,16,Otoño,1825
12,13,Invierno,1825
1,13,Invierno,1826
2,13,Invierno,1826
3,17,Primavera,1826
4,17,Primavera,1826
5,17,Primavera,1826
6,20,Verano,1826
7,20,Verano,1826
8,20,Verano,1826
9,17,Otoño,1826
10,17,Otoño,1826
11,17,Otoño,1826
12,13,Invierno,1826
1,14,Invierno,1827
2,14,Invierno,1827
3,17,Primavera,1827
4,17,Primavera,1827
5,17,Primavera,1827
6,20,Verano,1827
7,20,Verano,1827
8,20,Verano,1827
9,17,Otoño,1827
10,17,Otoño,1827
11,17,Otoño,1827
12,14,Invierno,1827
1,14,Invierno,1828
2,14,Invierno,1828
3,17,Primavera,1828
4,17,Primavera,1828
5,17,Primavera,1828
6,21,Verano,1828
7,21,Verano,1828
8,21,Verano,1828
9,17,Otoño,1828
10,17,Otoño,1828
11,17,Otoño,1828
12,14,Invierno,1828
1,14,Invierno,1829
2,14,Invierno,1829
3,18,Primavera,1829
4,18,Primavera,1829
5,18,Primavera,1829
6,21,Verano,1829
7,21,Verano,1829
8,21,Verano,1829
9,18,Otoño,1829
10,18,Otoño,1829
11,18,Otoño,1829
12,14,Invierno,1829
1,14,Invierno,1830
2,14,Invierno,1830
3,18,Primavera,1830
4,18,Primavera,1830
5,18,Primavera,1830
6,22,Verano,1830
7,22,Verano,1830
8,22,Verano,1830
9,18,Otoño,1830
10,18,Otoño,1830
11,18,Otoño,1830
12,14,Invierno,1830
1,15,Invierno,1831
2,15,Invierno,1831
3,18,Primavera,1831
4,18,Primavera,1831
5,18,Primavera,1831
6,22,Verano,1831
7,22,Verano,1831
8,22,Verano,1831
9,18,Otoño,1831
10,18,Otoño,1831
11,18,Otoño,1831
12,15,Invierno,1831
1,15,Invierno,1832
2,15,Invierno,1832
3,19,Primavera,1832
4,19,Primavera,1832
5,19,Primavera,1832
6,23,Verano,1832
7,23,Verano,1832
8,23,Verano,1832
9,19,Otoño,1832
10,19,Otoño,1832
11,19,Otoño,1832
12,15,Invierno,1832
1,15,Invierno,1833
2,15,Invierno,1833
3,19,Primavera,1833
4,19,Primavera,1833
5,19,Primavera,1833
6,23,Verano,1833
7,23,Verano,1833
8,23,Verano,1833
9,19,Otoño,1833
10,19,Otoño,1833
11,19,Otoño,1833
12,15,Invierno,1833
1,16,Invierno,1834
2,16,Invierno,1834
3,20,Primavera,1834
4,20,Primavera,1834
5,20,Primavera,1834
6,24,Verano,1834
7,24,Verano,1834
8,24,Verano,1834
9,20,Otoño,1834
10,20,Otoño,1834
11,20,Otoño,1834
12,16,Invierno,1834
1,16,Invierno,1835
2,16,Invierno,1835
3,20,Primavera,1835
4,20,Primavera,1835
5,20,Primavera,1835
6,24,Verano,1835
7,24,Verano,1835
8,24,Verano,1835
9,20,Otoño,1835
10,20,Otoño,1835
11,20,Otoño,1835
12,16,Invierno,1835
1,16,Invierno,1836
2,16,Invierno,1836
3,20,Primavera,1836
4,20,Primavera,1836
5,20,Primavera,1836
6,24,Verano,1836
7,24,Verano,1836
8,24,Verano,1836
9,20,Otoño,1836
10,20,Otoño,1836
11,20,Otoño,1836
12,16,Invierno,1836
1,17,Invierno,1837
2,17,Invierno,1837
3,21,Primavera,1837
4,21,Primavera,1837
5,21,Primavera,1837
6,25,Verano,1837
7,25,Verano,1837
8,25,Verano,1837
9,21,Otoño,1837
10,21,Otoño,1837
11,21,Otoño,1837
12,17,Invierno,1837
1,17,Invierno,1838
2,17,Invierno,1838
3,21,Primavera,1838
4,21,Primavera,1838
5,21,Primavera,1838
6,25,Verano,1838
7,25,Verano,1838
8,25,Verano,1838
9,21,Otoño,1838
10,21,Otoño,1838
11,21,Otoño,1838
12,17,Invierno,1838
1,17,Invierno,1839
2,17,Invierno,1839
3,22,Primavera,1839
4,22,Primavera,1839
5,22,Primavera,1839
6,26,Verano,1839
7,26,Verano,1839
8,26,Verano,1839
9,22,Otoño,1839
10,22,Otoño,1839
11,22,Otoño,1839
12,17,Invierno,1839
1,18,Invierno,1840
2,18,Invierno,1840
3,22,Primavera,1840
4,22,Primavera,1840
5,22,Primavera,1840
6,26,Verano,1840
7,26,Verano,1840
8,26,Verano,1840
9,22,Otoño,1840
10,22,Otoño,1840
11,22,Otoño,1840
12,18,Invierno,1840
1,18,Invierno,1841
2,18,Invierno,1841
3,23,Primavera,1841
4,23,Primavera,1841
5,23,Primavera,1841
6,27,Verano,1841
7,27,Verano,1841
8,27,Verano,1841
9,23,Otoño,1841
10,23,Otoño,1841
11,23,Otoño,1841
12,18,Invierno,1841
1,18,Invierno,1842
2,18,Invierno,1842
3,23,Primavera,1842
4,23,Primavera,1842
5,23,Primavera,1842
6,28,Verano,1842
7,28,Verano,1842
8,28,Verano,1842
9,23,Otoño,1842
10,23,Otoño,1842
11,23,Otoño,1842
12,18,Invierno,1842
1,19,Invierno,1843
2,19,Invierno,1843
3,23,Primavera,1843
4,23,Primavera,1843
5,23,Primavera,1843
6,28,Verano,1843
7,28,Verano,1843
8,28,Verano,1843
9,23,Otoño,1843
10,23,Otoño,1843
11,23,Otoño,1843
12,19,Invierno,1843
1,19,Invierno,1844
2,19,Invierno,1844
3,24,Primavera,1844
4,24,Primavera,1844
5,24,Primavera,1844
6,29,Verano,1844
7,29,Verano,1844
8,29,Verano,1844
9,24,Otoño,1844
10,24,Otoño,1844
11,24,Otoño,1844
12,19,Invierno,1844
1,20,Invierno,1845
2,20,Invierno,1845
3,24,Primavera,1845
4,24,Primavera,1845
5,24,Primavera,1845
6,29,Verano,1845
7,29,Verano,1845
8,29,Verano,1845
9,24,Otoño,1845
10,24,Otoño,1845
11,24,Otoño,1845
12,20,Invierno,1845
1,20,Invierno,1846
2,20,Invierno,1846
3,25,Primavera,1846
4,25,Primavera,1846
5,25,Primavera,1846
6,30,Verano,1846
7,30,Verano,1846
8,30,Verano,1846
9,25,Otoño,1846
10,25,Otoño,1846
11,25,Otoño,1846
12,20,Invierno,1846
1,20,Invierno,1847
2,20,Invierno,1847
3,25,Primavera,1847
4,25,Primavera,1847
5,25,Primavera,1847
6,30,Verano,1847
7,30,Verano,1847
8,30,Verano,1847
9,25,Otoño,1847
10,25,Otoño,1847
11,25,Otoño,1847
12,20,Invierno,1847
1,21,Invierno,1848
2,21,Invierno,1848
3,26,Primavera,1848
4,26,Primavera,1848
5,26,Primavera,1848
6,31,Verano,1848
7,31,Verano,1848
8,31,Verano,1848
9,26,Otoño,1848
10,26,Otoño,1848
11,26,Otoño,1848
12,21,Invierno,1848
1,21,Invierno,1849
2,21,Invierno,1849
3,26,Primavera,1849
4,26,Primavera,1849
5,26,Primavera,1849
6,32,Verano,1849
7,32,Verano,1849
8,32,Verano,1849
9,26,Otoño,1849
10,26,Otoño,1849
11,26,Otoño,1849
12,21,Invierno,1849
1,22,Invierno,1850
2,22,Invierno,1850
3,27,Primavera,1850
4,27,Primavera,1850
5,27,Primavera,1850
6,32,Verano,1850
7,32,Verano,1850
8,32,Verano,1850
9,27,Otoño,1850
10,27,Otoño,1850
11,27,Otoño,1850
12,22,Invierno,1850
1,22,Invierno,1851
2,22,Invierno,1851
3,27,Primavera,1851
4,27,Primavera,1851
5,27,Primavera,1851
6,33,Verano,1851
7,33,Verano,1851
8,33,Verano,1851
9,27,Otoño,1851
10,27,Otoño,1851
11,27,Otoño,1851
12,22,Invierno,1851
1,22,Invierno,1852
2,22,Invierno,1852
3,28,Primavera,1852
4,28,Primavera,1852
5,28,Primavera,1852
6,34,Verano,1852
7,34,Verano,1852
8,34,Verano,1852
9,28,Otoño,1852
10,28,Otoño,1852
11,28,Otoño,1852
12,22,Invierno,1852
1,23,Invierno,1853
2,23,Invierno,1853
3,29,Primavera,1853
4,29,Primavera,1853
5,29,Primavera,1853
6,34,Verano,1853
7,34,Verano,1853
8,34,Verano,1853
9,29,Otoño,1853
10,29,Otoño,1853
11,29,Otoño,1853
12,23,Invierno,1853
1,23,Invierno,1854
2,23,Invierno,1854
3,29,Primavera,1854
4,29,Primavera,1854
5,29,Primavera,1854
6,35,Verano,1854
7,35,Verano,1854
8,35,Verano,1854
9,29,Otoño,1854
10,29,Otoño,1854
11,29,Otoño,1854
12,23,Invierno,1854
1,24,Invierno,1855
2,24,Invierno,1855
3,30,Primavera,1855
4,30,Primavera,1855
5,30,Primavera,1855
6,36,Verano,1855
7,36,Verano,1855
8,36,Verano,1855
9,30,Otoño,1855
10,30,Otoño,1855
11,30,Otoño,1855
12,24,Invierno,1855
1,24,Invierno,1856
2,24,Invierno,1856
3,30,Primavera,1856
4,30,Primavera,1856
5,30,Primavera,1856
6,36,Verano,1856
7,36,Verano,1856
8,36,Verano,1856
9,30,Otoño,1856
10,30,Otoño,1856
11,30,Otoño,1856
12,24,Invierno,1856
1,25,Invierno,1857
2,25,Invierno,1857
3,31,Primavera,1857
4,31,Primavera,1857
5,31,Primavera,1857
6,37,Verano,1857
7,37,Verano,1857
8,37,Verano,1857
9,31,Otoño,1857
10,31,Otoño,1857
11,31,Otoño,1857
12,25,Invierno,1857
1,25,Invierno,1858
2,25,Invierno,1858
3,32,Primavera,1858
4,32,Primavera,1858
5,32,Primavera,1858
6,38,Verano,1858
7,38,Verano,1858
8,38,Verano,1858
9,32,Otoño,1858
10,32,Otoño,1858
11,32,Otoño,1858
12,25,Invierno,1858
1,26,Invierno,1859
2,26,Invierno,1859
3,32,Primavera,1859
4,32,Primavera,1859
5,32,Primavera,1859
6,39,Verano,1859
7,39,Verano,1859
8,39,Verano,1859
9,32,Otoño,1859
10,32,Otoño,1859
11,32,Otoño,1859
12,26,Invierno,1859
1,26,Invierno,1860
2,26,Invierno,1860
3,33,Primavera,1860
4,33,Primavera,1860
5,33,Primavera,1860
6,39,Verano,1860
7,39,Verano,1860
8,39,Verano,1860
9,33,Otoño,1860
10,33,Otoño,1860
11,33,Otoño,1860
12,26,Invierno,1860
1,27,Invierno,1861
2,27,Invierno,1861
3,33,Primavera,1861
4,33,Primavera,1861
5,33,Primavera,1861
6,40,Verano,1861
7,40,Verano,1861
8,40,Verano,1861
9,33,Otoño,1861
10,33,Otoño,1861
11,33,Otoño,1861
12,27,Invierno,1861
1,27,Invierno,1862
2,27,Invierno,1862
3,34,Primavera,1862
4,34,Primavera,1862
5,34,Primavera,1862
6,41,Verano,1862
7,41,Verano,1862
8,41,Verano,1862
9,34,Otoño,1862
10,34,Otoño,1862
11,34,Otoño,1862
12,27,Invierno,1862
1,28,Invierno,1863
2,28,Invierno,1863
3,35,Primavera,1863
4,35,Primavera,1863
5,35,Primavera,1863
6,42,Verano,1863
7,42,Verano,1863
8,42,Verano,1863
9,35,Otoño,1863
10,35,Otoño,1863
11,35,Otoño,1863
12,28,Invierno,1863
1,28,Invierno,1864
2,28,Invierno,1864
3,36,Primavera,1864
4,36,Primavera,1864
5,36,Primavera,1864
6,43,Verano,1864
7,43,Verano,1864
8,43,Verano,1864
9,36,Otoño,1864
10,36,Otoño,1864
11,36,Otoño,1864
12,28,Invierno,1864
1,29,Invierno,1865
2,29,Invierno,1865
3,36,Primavera,1865
4,36,Primavera,1865
5,36,Primavera,1865
6,43,Verano,1865
7,43,Verano,1865
8,43,Verano,1865
9,36,Otoño,1865
10,36,Otoño,1865
11,36,Otoño,1865
12,29,Invierno,1865
1,30,Invierno,1866
2,30,Invierno,1866
3,37,Primavera,1866
4,37,Primavera,1866
5,37,Primavera,1866
6,44,Verano,1866
7,44,Verano,1866
8,44,Verano,1866
9,37,Otoño,1866
10,37,Otoño,1866
11,37,Otoño,1866
12,30,Invierno,1866
1,30,Invierno,1867
2,30,Invierno,1867
3,38,Primavera,1867
4,38,Primavera,1867
5,38,Primavera,1867
6,45,Verano,1867
7,45,Verano,1867
8,45,Verano,1867
9,38,Otoño,1867
10,38,Otoño,1867
11,38,Otoño,1867
12,30,Invierno,1867
1,31,Invierno,1868
2,31,Invierno,1868
3,38,Primavera,1868
4,38,Primavera,1868
5,38,Primavera,1868
6,46,Verano,1868
7,46,Verano,1868
8,46,Verano,1868
9,38,Otoño,1868
10,38,Otoño,1868
11,38,Otoño,1868
12,31,Invierno,1868
1,31,Invierno,1869
2,31,Invierno,1869
3,39,Primavera,1869
4,39,Primavera,1869
5,39,Primavera,1869
6,47,Verano,1869
7,47,Verano,1869
8,47,Verano,1869
9,39,Otoño,1869
10,39,Otoño,1869
11,39,Otoño,1869
12,31,Invierno,1869
1,32,Invierno,1870
2,32,Invierno,1870
3,40,Primavera,1870
4,40,Primavera,1870
5,40,Primavera,1870
6,48,Verano,1870
7,48,Verano,1870
8,48,Verano,1870
9,40,Otoño,1870
10,40,Otoño,1870
11,40,Otoño,1870
12,32,Invierno,1870
1,33,Invierno,1871
2,33,Invierno,1871
3,41,Primavera,1871
4,41,Primavera,1871
5,41,Primavera,1871
6,49,Verano,1871
7,49,Verano,1871
8,49,Verano,1871
9,41,Otoño,1871
10,41,Otoño,1871
11,41,Otoño,1871
12,33,Invierno,1871
1,33,Invierno,1872
2,33,Invierno,1872
3,42,Primavera,1872
4,42,Primavera,1872
5,42,Primavera,1872
6,50,Verano,1872
7,50,Verano,1872
8,50,Verano,1872
9,42,Otoño,1872
10,42,Otoño,1872
11,42,Otoño,1872
12,33,Invierno,1872
1,34,Invierno,1873
2,34,Invierno,1873
3,42,Primavera,1873
4,42,Primavera,1873
5,42,Primavera,1873
6,51,Verano,1873
7,51,Verano,1873
8,51,Verano,1873
9,42,Otoño,1873
10,42,Otoño,1873
11,42,Otoño,1873
12,34,Invierno,1873
1,35,Invierno,1874
2,35,Invierno,1874
3,43,Primavera,1874
4,43,Primavera,1874
5,43,Primavera,1874
6,52,Verano,1874
7,52,Verano,1874
8,52,Verano,1874
9,43,Otoño,1874
10,43,Otoño,1874
11,43,Otoño,1874
12,35,Invierno,1874
1,35,Invierno,1875
2,35,Invierno,1875
3,44,Primavera,1875
4,44,Primavera,1875
5,44,Primavera,1875
6,53,Verano,1875
7,53,Verano,1875
8,53,Verano,1875
9,44,Otoño,1875
10,44,Otoño,1875
11,44,Otoño,1875
12,35,Invierno,1875
1,36,Invierno,1876
2,36,Invierno,1876
3,45,Primavera,1876
4,45,Primavera,1876
5,45,Primavera,1876
6,54,Verano,1876
7,54,Verano,1876
8,54,Verano,1876
9,45,Otoño,1876
10,45,Otoño,1876
11,45,Otoño,1876
12,36,Invierno,1876
1,37,Invierno,1877
2,37,Invierno,1877
3,46,Primavera,1877
4,46,Primavera,1877
5,46,Primavera,1877
6,55,Verano,1877
7,55,Verano,1877
8,55,Verano,1877
9,46,Otoño,1877
10,46,Otoño,1877
11,46,Otoño,1877
12,37,Invierno,1877
1,37,Invierno,1878
2,37,Invierno,1878
3,47,Primavera,1878
4,47,Primavera,1878
5,47,Primavera,1878
6,56,Verano,1878
7,56,Verano,1878
8,56,Verano,1878
9,47,Otoño,1878
10,47,Otoño,1878
11,47,Otoño,1878
12,37,Invierno,1878
1,38,Invierno,1879
2,38,Invierno,1879
3,48,Primavera,1879
4,48,Primavera,1879
5,48,Primavera,1879
6,57,Verano,1879
7,57,Verano,1879
8,57,Verano,1879
9,48,Otoño,1879
10,48,Otoño,1879
11,48,Otoño,1879
12,38,Invierno,1879
1,39,Invierno,1880
2,39,Invierno,1880
3,49,Primavera,1880
4,49,Primavera,1880
5,49,Primavera,1880
6,59,Verano,1880
7,59,Verano,1880
8,59,Verano,1880
9,49,Otoño,1880
10,49,Otoño,1880
11,49,Otoño,1880
12,39,Invierno,1880
1,40,Invierno,1881
2,40,Invierno,1881
3,50,Primavera,1881
4,50,Primavera,1881
5,50,Primavera,1881
6,60,Verano,1881
7,60,Verano,1881
8,60,Verano,1881
9,50,Otoño,1881
10,50,Otoño,1881
11,50,Otoño,1881
12,40,Invierno,1881
1,41,Invierno,1882
2,41,Invierno,1882
3,51,Primavera,1882
4,51,Primavera,1882
5,51,Primavera,1882
6,61,Verano,1882
7,61,Verano,1882
8,61,Verano,1882
9,51,Otoño,1882
10,51,Otoño,1882
11,51,Otoño,1882
12,41,Invierno,1882
1,41,Invierno,1883
2,41,Invierno,1883
3,52,Primavera,1883
4,52,Primavera,1883
5,52,Primavera,1883
6,62,Verano,1883
7,62,Verano,1883
8,62,Verano,1883
9,52,Otoño,1883
10,52,Otoño,1883
11,52,Otoño,1883
12,41,Invierno,1883
1,42,Invierno,1884
2,42,Invierno,1884
3,53,Primavera,1884
4,53,Primavera,1884
5,53,Primavera,1884
6,63,Verano,1884
7,63,Verano,1884
8,63,Verano,1884
9,53,Otoño,1884
10,53,Otoño,1884
11,53,Otoño,1884
12,42,Invierno,1884
1,43,Invierno,1885
2,43,Invierno,1885
3,54,Primavera,1885
4,54,Primavera,1885
5,54,Primavera,1885
6,65,Verano,1885
7,65,Verano,1885
8,65,Verano,1885
9,54,Otoño,1885
10,54,Otoño,1885
11,54,Otoño,1885
12,43,Invierno,1885
1,44,Invierno,1886
2,44,Invierno,1886
3,55,Primavera,1886
4,55,Primavera,1886
5,55,Primavera,1886
6,66,Verano,1886
7,66,Verano,1886
8,66,Verano,1886
9,55,Otoño,1886
10,55,Otoño,1886
11,55,Otoño,1886
12,44,Invierno,1886
1,45,Invierno,1887
2,45,Invierno,1887
3,56,Primavera,1887
4,56,Primavera,1887
5,56,Primavera,1887
6,67,Verano,1887
7,67,Verano,1887
8,67,Verano,1887
9,56,Otoño,1887
10,56,Otoño,1887
11,56,Otoño,1887
12,45,Invierno,1887
1,46,Invierno,1888
2,46,Invierno,1888
3,57,Primavera,1888
4,57,Primavera,1888
5,57,Primavera,1888
6,69,Verano,1888
7,69,Verano,1888
8,69,Verano,1888
9,57,Otoño,1888
10,57,Otoño,1888
11,57,Otoño,1888
12,46,Invierno,1888
1,47,Invierno,1889
2,47,Invierno,1889
3,58,Primavera,1889
4,58,Primavera,1889
5,58,Primavera,1889
6,70,Verano,1889
7,70,Verano,1889
8,70,Verano,1889
9,58,Otoño,1889
10,58,Otoño,1889
11,58,Otoño,1889
12,47,Invierno,1889
1,48,Invierno,1890
2,48,Invierno,1890
3,59,Primavera,1890
4,59,Primavera,1890
5,59,Primavera,1890
6,71,Verano,1890
7,71,Verano,1890
8,71,Verano,1890
9,59,Otoño,1890
10,59,Otoño,1890
11,59,Otoño,1890
12,48,Invierno,1890
1,48,Invierno,1891
2,48,Invierno,1891
3,61,Primavera,1891
4,61,Primavera,1891
5,61,Primavera,1891
6,73,Verano,1891
7,73,Verano,1891
8,73,Verano,1891
9,61,Otoño,1891
10,61,Otoño,1891
11,61,Otoño,1891
12,48,Invierno,1891
1,49,Invierno,1892
2,49,Invierno,1892
3,62,Primavera,1892
4,62,Primavera,1892
5,62,Primavera,1892
6,74,Verano,1892
7,74,Verano,1892
8,74,Verano,1892
9,62,Otoño,1892
10,62,Otoño,1892
11,62,Otoño,1892
12,49,Invierno,1892
1,50,Invierno,1893
2,50,Invierno,1893
3,63,Primavera,1893
4,63,Primavera,1893
5,63,Primavera,1893
6,76,Verano,1893
7,76,Verano,1893
8,76,Verano,1893
9,63,Otoño,1893
10,63,Otoño,1893
11,63,Otoño,1893
12,50,Invierno,1893
1,51,Invierno,1894
2,51,Invierno,1894
3,64,Primavera,1894
4,64,Primavera,1894
5,64,Primavera,1894
6,77,Verano,1894
7,77,Verano,1894
8,77,Verano,1894
9,64,Otoño,1894
10,64,Otoño,1894
11,64,Otoño,1894
12,51,Invierno,1894
1,52,Invierno,1895
2,52,Invierno,1895
3,66,Primavera,1895
4,66,Primavera,1895
5,66,Primavera,1895
6,79,Verano,1895
7,79,Verano,1895
8,79,Verano,1895
9,66,Otoño,1895
10,66,Otoño,1895
11,66,Otoño,1895
12,52,Invierno,1895
1,54,Invierno,1896
2,54,Invierno,1896
3,67,Primavera,1896
4,67,Primavera,1896
5,67,Primavera,1896
6,80,Verano,1896
7,80,Verano,1896
8,80,Verano,1896
9,67,Otoño,1896
10,67,Otoño,1896
11,67,Otoño,1896
12,54,Invierno,1896
1,55,Invierno,1897
2,55,Invierno,1897
3,68,Primavera,1897
4,68,Primavera,1897
5,68,Primavera,1897
6,82,Verano,1897
7,82,Verano,1897
8,82,Verano,1897
9,68,Otoño,1897
10,68,Otoño,1897
11,68,Otoño,1897
12,55,Invierno,1897
1,56,Invierno,1898
2,56,Invierno,1898
3,70,Primavera,1898
4,70,Primavera,1898
5,70,Primavera,1898
6,84,Verano,1898
7,84,Verano,1898
8,84,Verano,1898
9,70,Otoño,1898
10,70,Otoño,1898
11,70,Otoño,1898
